Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Keylog_CLEAN,IME,IME,OS,AGE,DIALECT,GENDER,CharacterType,TrialDate
tang_session1_trial2,1,1,2,TangPoem,j,un,z,i,1,*,y,an,1,b,u,d,e,y,i,1,*,y,i,1,junzi1*yan4budeyi1*yi1,,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014
tang_session2_trial1,1,2,1,TangPoem,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,junyanbudeyi_,,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014
tang_session2_trial2,1,2,2,TangPoem,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,junyanbudeyi_,,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014
tang_session5_trial1,1,5,1,TangPoem,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,junyanbudeyi2,,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015
tang_session6_trial1,1,6,1,TangPoem,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,junyanbudeyi1,,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015
tang_session6_trial2,1,6,2,TangPoem,j,un,,,,,y,an,,b,u,d,e,,,,,y,i,1,junyanbudeyi1,,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015
ChineseID,,,,,11,11,11,11,11,11,12,12,12,13,13,14,14,14,14,14,14,15,15,15,,,,,,,,,
DNA_Type,,,,,initial,final,initial,final,selection,delete,initial,final,selection,initial,final,initial,final,initial,final,selection,delete,initial,final,selection,,,,,,,,,
MasterTokenID,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,
